brand,model,processorBrand,processorName,generation,ram,ssd,hdd,os,osBit,price
Lenovo,A6-9225,AMD,A6-9225 Processor,10,4,0,1024,Windows,64,24990
Lenovo,Ideapad,AMD,APU Dual,10,4,0,512,Windows,64,19590
Avita,PURA,AMD,APU Dual,10,4,128,0,Windows,64,19990
Avita,PURA,AMD,APU Dual,10,4,128,0,Windows,64,21490
Avita,PURA,AMD,APU Dual,10,4,256,0,Windows,64,24990
Avita,PURA,AMD,APU Dual,10,8,256,0,Windows,64,24990
HP,APU,AMD,APU Dual,10,4,0,1024,Windows,32,20900
Lenovo,APU,AMD,APU Dual,10,4,0,1024,Windows,64,21896
HP,Athlon,AMD,Athlon Dual,10,32,32,0,Windows,32,26899
Acer,Aspire,AMD,Athlon Dual,10,4,256,0,Windows,64,31990
ASUS,ExpertBook,Intel,Core i3,10,4,0,1024,Windows,64,34649
Lenovo,Missing,Intel,Core i3,10,4,0,1024,Windows,64,38999
Lenovo,v15,Intel,Core i3,10,4,0,1024,Windows,64,39999
ASUS,ExpertBook,Intel,Core i5,10,8,512,0,Windows,32,69990
ASUS,ExpertBook,Intel,Core i5,10,8,0,1024,Windows,32,58799
Lenovo,Missing,Intel,Core i5,10,4,0,1024,Windows,32,49999
Acer,Aspire,AMD,Ryzen,10,4,0,512,Windows,32,54990
Acer,Nitro,AMD,Ryzen 5,10,4,0,512,Windows,32,59990
Acer,Nitro,AMD,Ryzen 5,10,4,0,512,Windows,32,93700
Acer,Nitro,AMD,Ryzen 5,10,4,0,512,Windows,32,72990
ASUS,ExpertBook,Intel,Core i3,11,4,256,0,Windows,64,35990
HP,x360,Intel,Core i3,11,8,256,0,Windows,64,56490
HP,x360,Intel,Core i5,11,8,256,0,Windows,64,65390
HP,15q,Intel,Core i3,7,4,0,1024,Windows,64,32955
HP,250-G6,Intel,Core i5,7,4,0,1024,Windows,32,46200
ASUS,Missing,Intel,Core i3,11,4,256,0,Windows,64,34429
Lenovo,IdeaPad,Intel,Core i3,10,8,256,0,Windows,32,37990
ASUS,VivoBook,Intel,Core i3,11,4,256,0,Windows,32,35990
ASUS,VivoBook,Intel,Core i3,10,8,256,0,Windows,64,33980
HP,Missing,Intel,Core i3,11,8,256,0,Windows,64,39990
DELL,Vostro,Intel,Core i3,10,8,256,0,Windows,64,39490
RedmiBook,15,Intel,Core i3,11,8,256,0,Windows,32,38990
HP,Pavilion,Intel,Core i3,11,8,256,0,Windows,64,53990
Acer,Aspire,Intel,Core i3,11,8,256,0,Windows,64,38990
realme,Book,Intel,Core i3,11,8,256,0,Windows,64,46990
ASUS,Missing,Intel,Core i3,11,8,256,0,Windows,64,37990
ASUS,VivoBook,Intel,Core i3,11,8,256,0,Windows,64,37890
Lenovo,IdeaPad,Intel,Core i3,11,8,256,0,Windows,64,38990
Lenovo,IdeaPad,Intel,Core i3,10,8,256,0,Windows,64,37990
DELL,Vostro,Intel,Core i3,11,8,256,0,Windows,64,41990
ASUS,VivoBook,Intel,Core i3,11,8,256,0,Windows,64,45990
Lenovo,IdeaPad,Intel,Core i3,11,8,256,0,Windows,64,39990
DELL,Inspiron,Intel,Core i3,11,8,256,0,Windows,64,42490
Infinix,INBook,Intel,Core i3,10,8,256,0,Windows,64,32990
DELL,Vostro,Intel,Core i3,10,4,256,0,Windows,64,36990
Lenovo,Ideapad,Intel,Core i3,11,8,256,0,Windows,64,53990
ASUS,VivoBook,Intel,Core i3,11,8,256,0,Windows,64,36990
Lenovo,IdeaPad,Intel,Core i3,10,4,256,0,Windows,64,38940
DELL,Inspiron,Intel,Core i3,10,4,256,0,Windows,64,39490
ASUS,VivoBook,Intel,Core i3,11,8,256,0,Windows,64,45990
Lenovo,Ideapad,Intel,Core i3,10,8,256,0,Windows,64,39999
DELL,Inspiron,Intel,Core i3,11,8,256,0,Windows,64,42990
DELL,Inspiron,Intel,Core i3,11,8,256,0,Windows,64,49990
DELL,Vostro,Intel,Core i3,11,8,256,0,Windows,64,41490
DELL,Inspiron,Intel,Core i3,11,8,256,0,Windows,64,41990
Lenovo,Ideapad,Intel,Core i3,11,8,256,0,Windows,64,41990
Infinix,INBook,Intel,Core i3,10,8,256,0,Windows,64,32990
ASUS,VivoBook,Intel,Core i3,11,8,256,0,Windows,64,38490
Lenovo,Missing,Intel,Core i3,11,4,256,0,Windows,64,38990
Lenovo,ThinkPad,Intel,Core i3,11,4,256,0,Windows,64,44990
Lenovo,IdeaPad,Intel,Core i3,10,4,256,0,Windows,64,36490
Lenovo,Missing,Intel,Core i3,10,8,256,0,Windows,32,38970
HP,Missing,Intel,Core i3,11,4,256,0,Windows,64,44900
MSI,Missing,Intel,Core i3,10,4,256,0,Windows,64,38990
DELL,Vostro,Intel,Core i3,11,4,256,0,Windows,64,44427
ASUS,VivoBook,Intel,Core i3,10,4,256,0,Windows,64,35990
Lenovo,Ideapad,Intel,Core i3,10,4,256,0,Windows,64,40200
Lenovo,Missing,Intel,Core i3,10,4,256,0,Windows,32,40990
DELL,Inspiron,Intel,Core i3,10,4,256,0,Windows,64,42490
realme,Book,Intel,Core i3,11,4,256,0,Windows,64,47999
DELL,Missing,Intel,Core i3,11,4,256,0,Windows,64,71999
ASUS,VivoBook,Intel,Core i3,11,4,256,0,Windows,64,39990
Lenovo,IdeaPad,Intel,Core i3,10,4,256,0,Windows,64,41998
ASUS,Missing,Intel,Core i3,11,4,256,0,Windows,32,41990
Lenovo,Ideapad,Intel,Core i3,10,4,256,0,Windows,64,39999
ASUS,Commercial,Intel,Core i3,10,4,256,0,Windows,32,39990
Lenovo,Ideapad,Intel,Core i3,11,4,256,0,Windows,64,39998
HP,14s,Intel,Core i3,11,4,256,0,Windows,64,42490
Lenovo,Missing,Intel,Core i3,10,4,256,0,Windows,32,41990
ASUS,Missing,Intel,Core i3,11,4,256,0,Windows,32,48490
HP,Missing,Intel,Core i3,11,4,256,0,Windows,64,44376
DELL,Missing,Intel,Core i3,11,4,256,0,Windows,32,43900
DELL,INSPIRON,Intel,Core i3,11,4,256,0,Windows,64,46690
Lenovo,Missing,Intel,Core i3,10,4,256,0,Windows,32,40990
DELL,Inspiron,Intel,Core i3,10,4,256,0,Windows,64,39990
Lenovo,V15,Intel,Core i3,11,4,256,0,Windows,64,43990
ASUS,VivoBook,Intel,Core i3,11,4,256,0,Windows,64,36990
DELL,Missing,Intel,Core i3,11,8,256,0,Windows,64,48500
ASUS,VivoBook,Intel,Core i3,11,8,256,0,Windows,64,48990
HP,Pavilion,Intel,Core i3,8,4,256,0,Windows,64,54238
ASUS,VivoBook,Intel,Core i3,10,8,512,0,Windows,64,37990
HP,Missing,Intel,Core i3,11,8,512,0,Windows,64,42990
HP,Missing,Intel,Core i3,11,8,512,0,Windows,64,42990
ASUS,VivoBook,Intel,Core i3,10,4,512,0,Windows,64,35990
RedmiBook,15,Intel,Core i3,11,8,512,0,Windows,32,42990
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,64,42990
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,32,51990
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,64,48990
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,64,42990
Lenovo,Missing,Intel,Core i3,10,8,512,0,Windows,64,38990
DELL,Inspiron,Intel,Core i3,11,8,512,0,Windows,64,45990
HP,Missing,Intel,Core i3,10,8,512,0,Windows,64,42490
HP,Missing,Intel,Core i3,11,8,512,0,Windows,64,43970
ASUS,Missing,Intel,Core i3,10,4,512,0,Windows,64,39990
MSI,Missing,Intel,Core i3,11,8,512,0,Windows,64,48990
HP,Pavilion,Intel,Core i3,11,8,512,0,Windows,64,54990
MSI,Missing,Intel,Core i3,10,8,512,0,Windows,64,40990
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,64,41990
Lenovo,IdeaPad,Intel,Core i3,11,8,512,0,Windows,64,54990
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,64,44990
HP,Missing,Intel,Core i3,11,8,512,0,Windows,64,41250
HP,Missing,Intel,Core i3,11,8,512,0,Windows,64,44990
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,64,42990
DELL,Missing,Intel,Core i3,11,8,512,0,Windows,64,60790
HP,Missing,Intel,Core i3,11,8,512,0,Windows,64,45650
DELL,Vostro,Intel,Core i3,10,8,512,0,Windows,64,41990
DELL,Inspiron,Intel,Core i3,10,8,512,0,Windows,64,45490
ASUS,VivoBook,Intel,Core i3,11,8,512,0,Windows,64,44990
Lenovo,IdeaPad,Intel,Core i3,11,8,512,0,Windows,64,42990
HP,15s,Intel,Core i3,11,4,512,0,Windows,64,45490
HP,Missing,Intel,Core i3,10,4,512,0,Windows,32,38799
HP,Pavilion,Intel,Core i3,11,4,512,0,Windows,64,69267
ASUS,VivoBook,Intel,Core i3,11,4,512,0,Windows,64,51649
HP,Missing,Intel,Core i3,11,4,512,0,Windows,64,47990
ASUS,VivoBook,Intel,Core i3,10,4,512,0,Windows,64,40990
ASUS,Missing,Intel,Core i3,10,4,512,0,Windows,64,42990
ASUS,VivoBook,Intel,Core i3,11,4,512,0,Windows,64,44890
ASUS,VivoBook,Intel,Core i3,10,4,512,0,Windows,64,41490
HP,15s,Intel,Core i3,11,4,512,0,Windows,32,50990
HP,Missing,Intel,Core i3,11,4,512,0,Windows,64,48900
ASUS,VivoBook,Intel,Core i3,10,4,512,0,Windows,64,40990
DELL,Vostro,Intel,Core i3,10,4,512,0,Windows,64,41790
Lenovo,Ideapad,Intel,Core i3,11,4,512,0,Windows,64,57999
DELL,Inspiron,Intel,Core i3,11,8,512,0,Windows,64,45930
HP,Pavilion,Intel,Core i3,11,8,512,0,Windows,64,55490
ASUS,VivoBook,Intel,Core i3,10,8,0,1024,Windows,64,32890
Lenovo,IdeaPad,Intel,Core i3,10,8,0,1024,Windows,64,35990
DELL,Inspiron,Intel,Core i3,11,8,0,1024,Windows,64,42490
DELL,Vostro,Intel,Core i3,11,8,0,1024,Windows,64,42190
DELL,Vostro,Intel,Core i3,10,8,0,1024,Windows,64,39490
HP,15s,Intel,Core i3,11,8,0,1024,Windows,64,43690
ASUS,VivoBook,Intel,Core i3,10,4,0,1024,Windows,64,35990
DELL,3000,Intel,Core i3,11,8,0,1024,Windows,32,43800
Lenovo,Missing,Intel,Core i3,10,8,0,1024,Windows,32,38990
ASUS,VivoBook,Intel,Core i3,10,4,0,1024,Windows,64,34990
ASUS,VivoBook,Intel,Core i3,11,8,0,1024,Windows,64,38900
DELL,Inspiron,Intel,Core i3,10,4,0,1024,Windows,64,39990
DELL,INSPIRON,Intel,Core i3,10,4,0,1024,Windows,32,40890
Lenovo,Missing,Intel,Core i3,10,4,0,1024,Windows,64,36990
HP,15s,Intel,Core i3,11,4,0,1024,Windows,64,39990
HP,Missing,Intel,Core i3,11,4,0,1024,Windows,64,41990
DELL,Missing,Intel,Core i3,11,4,0,1024,Windows,32,43970
HP,Notebook,Intel,Core i3,11,4,0,1024,Windows,64,39790
ASUS,Missing,Intel,Core i3,10,4,0,1024,Windows,32,35590
HP,14s,Intel,Core i3,10,4,0,1024,Windows,64,36490
ASUS,VivoBook,Intel,Core i3,10,4,0,1024,Windows,64,38990
ASUS,Missing,Intel,Core i3,10,4,0,1024,Windows,32,33990
DELL,Inspiron,Intel,Core i3,10,4,0,1024,Windows,64,43400
HP,15s,Intel,Core i3,10,4,0,1024,Windows,64,40750
DELL,Inspiron,Intel,Core i3,10,4,0,1024,Windows,64,43000
ASUS,Vivo,Intel,Core i3,10,4,0,1024,Windows,64,38000
DELL,Inspiron,Intel,Core i3,11,8,0,1024,Windows,64,37990
HP,DA,Intel,Core i3,7,8,0,1024,Windows,64,49279
Lenovo,Missing,Intel,Core i3,10,8,0,1024,Windows,32,38999
ASUS,Missing,Intel,Core i3,11,8,0,1024,Windows,32,41500
Acer,Missing,Intel,Core i3,11,4,0,1024,Windows,32,36999
DELL,Missing,Intel,Core i3,11,8,0,1024,Windows,32,42900
DELL,Insprion,Intel,Core i3,11,8,0,1024,Windows,32,41480
ASUS,VivoBook,Intel,Core i3,10,8,0,1024,Windows,64,32990
ASUS,VivoBook,Intel,Core i3,11,8,0,1024,Windows,64,38680
DELL,Missing,Intel,Core i3,10,8,0,1024,Windows,64,40390
ASUS,VivoBook,Intel,Core i3,10,4,0,1024,Windows,64,33990
DELL,Vostro,Intel,Core i3,10,8,256,1024,Windows,64,41490
DELL,Inspiron,Intel,Core i3,11,8,256,1024,Windows,64,45490
DELL,Inspiron,Intel,Core i3,11,8,256,1024,Windows,64,44490
ASUS,VivoBook,Intel,Core i3,11,8,256,1024,Windows,64,41890
DELL,Vostro,Intel,Core i3,11,4,256,1024,Windows,64,42990
Acer,Travelmate,Intel,Core i3,11,8,256,1024,Windows,64,40990
DELL,Inspiron,Intel,Core i3,11,8,256,1024,Windows,64,48990
DELL,Vostro,Intel,Core i3,11,4,256,1024,Windows,64,43590
DELL,Inspiron,Intel,Core i3,10,4,256,1024,Windows,64,44690
ASUS,ExpertBook,Intel,Core i3,10,4,256,1024,Windows,64,40990
DELL,Vostro,Intel,Core i3,11,4,256,1024,Windows,64,43990
DELL,Vostro,Intel,Core i3,11,4,256,1024,Windows,64,43590
DELL,Vostro,Intel,Core i3,10,4,256,1024,Windows,64,41390
DELL,Vostro,Intel,Core i3,10,4,256,1024,Windows,64,44290
DELL,Inspiron,Intel,Core i3,11,4,256,1024,Windows,64,48999
DELL,Vostro,Intel,Core i3,11,4,256,1024,Windows,64,39990
DELL,Missing,Intel,Core i3,10,8,256,1024,Windows,64,46390
Smartron,t.book,Intel,Core i5,7,4,128,0,Windows,64,52990
HP,Pavilion,Intel,Core i5,8,8,128,0,Windows,64,76012
Lenovo,Ideapad,Intel,Core i5,11,8,256,0,Windows,64,49490
Lenovo,Yoga,Intel,Core i5,10,8,0,512,DOS,32,102990
Acer,Swift,Intel,Core i5,7,8,256,0,Windows,64,86867
LG,Gram,Intel,Core i5,10,8,256,0,Windows,64,76990
LG,Gram,Intel,Core i5,11,8,256,0,Windows,64,76990
ASUS,VivoBook,Intel,Core i5,11,8,256,0,Windows,64,48990
LG,Gram,Intel,Core i5,10,8,256,0,Windows,64,62990
DELL,Inspiron,Intel,Core i5,11,8,256,0,Windows,64,55990
Acer,Swift,Intel,Core i5,8,8,256,0,Windows,64,81998
LG,Gram,Intel,Core i5,11,8,256,0,Windows,64,76990
HP,Spectre,Intel,Core i5,8,8,256,0,Windows,64,136590
Acer,Swift,Intel,Core i5,8,8,256,0,Windows,64,59490
ASUS,VivoBook14,Intel,Core i5,11,8,256,0,Windows,64,49800
Lenovo,Ideapad,Intel,Core i5,11,8,256,0,Windows,64,61999
HP,Missing,Intel,Core i5,11,8,512,0,Windows,64,54990
HP,Missing,Intel,Core i5,11,8,512,0,Windows,64,53990
Lenovo,Ideapad,Intel,Core i5,11,8,512,0,Windows,64,52990
HP,Pavilion,Intel,Core i5,11,16,512,0,Windows,64,67990
ASUS,TUF,Intel,Core i5,10,8,512,0,Windows,64,57990
Lenovo,Ideapad,Intel,Core i5,11,16,512,0,Windows,64,62300
realme,Book(Slim),Intel,Core i5,11,8,512,0,Windows,64,52990
Lenovo,Missing,Intel,Core i5,11,8,512,0,Windows,64,52990
Lenovo,IdeaPad,Intel,Core i5,11,8,512,0,Windows,64,51990
